Gene	TypeV	ZT
AT1G34190	Stable	ZT2
AT2G17150	Stable	ZT2
AT3G04870	Stable	ZT2
AT1G53240	Stable	ZT2
AT2G41960	Stable	ZT2
AT1G07870	Stable	ZT2
AT1G19010	Stable	ZT2
AT2G34840	Stable	ZT2
AT3G14020	Stable	ZT2
AT3G12012	Stable	ZT2
AT1G61620	Stable	ZT2
AT4G28220	Stable	ZT2
AT2G32970	Stable	ZT2
AT5G01620	Stable	ZT2
AT5G50420	Stable	ZT2
AT1G75990	Stable	ZT2
AT5G22320	Stable	ZT2
AT3G51990	Stable	ZT2
AT4G02210	Stable	ZT2
AT4G14520	Stable	ZT2
AT5G54730	Stable	ZT2
AT5G24890	Stable	ZT2
AT1G06050	Stable	ZT2
AT1G19480	Stable	ZT2
AT2G24520	Stable	ZT2
AT4G33130	Stable	ZT2
AT5G24970	Stable	ZT2
AT5G56780	Stable	ZT2
AT1G09980	Stable	ZT2
AT3G01170	Stable	ZT2
AT3G21630	Stable	ZT2
AT4G31170	Stable	ZT2
AT4G21460	Stable	ZT2
AT1G58230	Stable	ZT2
AT1G72940	Stable	ZT2
AT4G39560	Stable	ZT2
AT5G28900	Stable	ZT2
AT1G74120	Stable	ZT2
AT3G07980	Stable	ZT2
AT3G44820	Stable	ZT2
AT3G63280	Stable	ZT2
AT1G13000	Stable	ZT2
AT1G13990	Stable	ZT2
AT3G02280	Stable	ZT2
AT5G15680	Stable	ZT2
AT5G16680	Stable	ZT2
AT2G26780	Stable	ZT2
AT1G22860	Stable	ZT2
AT5G41180	Stable	ZT2
AT3G25560	Stable	ZT2
