tracking_id	FPKM_WT_ZT12_seedling_11	TPM_WT_ZT12_seedling_11	Raw_WT_ZT12_seedling_11
AT1G04390	3.30489	3.680038981	136
AT1G04400	51.4052	57.24037406	1217
AT1G04410	606.914	675.8068129	8541
AT1G04420	115.793	128.9370459	1693
AT1G04425	12.7759	14.22613461	52
AT1G04430	63.8404	71.08713469	1388
AT1G04440	33.0676	36.82121251	634
AT1G04445	0	0	0
AT1G04450	0	0	0
AT1G04470	0.0282582	0.031465882	1
AT1G04480	362.174	403.2855671	1833
AT1G04490	0.445099	0.495623658	7
AT1G04500	0.0700563	0.078008622	1
AT1G04501	0	0	0
AT1G04510	47.6993	53.11380511	898
AT1G04520	32.079	35.72039326	422
AT1G04530	26.0623	29.02071776	354
AT1G04540	1.75651	1.955897252	37
AT1G04550	21.9239	24.41255431	250
AT1G04555	5.02973	5.600671267	38
AT1G04560	0	0	0
AT1G04570	1.17561	1.309057374	20
AT1G04580	0	0	0
