Gene	ZT0_effect.size	ZT0_p.value	ZT0_q.value	ZT0_Mean	ZT0_CV2	ZT0_TechNoise	ZT0_BioVar	ZT0_Stable	ZT0_Type
AT5G58510	-0.037710026	0.999994251	0.999999999	12	0.004273504	0.04198353	-0.037710026	-0.000698464	Stable
AT1G10580	-0.027940167	0.999995524	0.999999999	16.5	0.003249276	0.031189443	-0.027940167	-0.000694684	Stable
AT2G14530	-0.027940167	0.999995524	0.999999999	16.5	0.003249276	0.031189443	-0.027940167	-0.000694684	Stable
AT3G29270	-0.020801222	0.999996589	0.999999999	22.71428571	0.002513289	0.023314511	-0.020801222	-0.000680678	Stable
AT4G37310	-0.020801222	0.999996589	0.999999999	22.71428571	0.002513289	0.023314511	-0.020801222	-0.000680678	Stable
AT5G49970	-0.009702279	0.999998743	0.999999999	54.92857143	0.00134943	0.011051709	-0.009702279	-0.000676651	Stable
AT5G60160	-0.013580384	0.999997936	0.999999999	36.71428571	0.00176093	0.015341314	-0.013580384	-0.000673684	Stable
AT1G08700	-0.016511235	0.999997327	0.999999999	29.35714286	0.002071974	0.018583209	-0.016511235	-0.000671392	Stable
AT5G66120	-0.007489745	0.999999131	0.999999999	76.5	0.001123828	0.008613574	-0.007489745	-0.000670049	Stable
AT1G55170	-0.05242475	0.999992575	0.999999999	8.5	0.005855736	0.058280486	-0.05242475	-0.000668324	Stable
AT1G69460	-0.007076676	0.999999117	0.999999999	82.28571429	0.001100372	0.008177048	-0.007076676	-0.000651932	Stable
AT3G66658	-0.025261011	0.999995553	0.999999999	18.35714286	0.003016409	0.028277419	-0.025261011	-0.000650216	Stable
AT4G10430	-0.017078117	0.999996996	0.999999999	28.21428571	0.002160403	0.019238521	-0.017078117	-0.000645374	Stable
AT2G26100	-0.034719716	0.999994139	0.999999999	13.07142857	0.00401969	0.038739406	-0.034719716	-0.000643315	Stable
AT3G04560	-0.02580191	0.999995294	0.999999999	17.92857143	0.003093968	0.028895878	-0.02580191	-0.000631558	Stable
AT2G33600	-0.021554661	0.999995982	0.999999999	21.78571429	0.002651066	0.024205727	-0.021554661	-0.000627779	Stable
AT3G28715	-0.010098433	0.999998288	0.999999999	51.92857143	0.001452799	0.011551231	-0.010098433	-0.000620856	Stable
AT1G27595	-0.026064565	0.999994991	0.999999999	17.71428571	0.003151765	0.02921633	-0.026064565	-0.00060428	Stable
AT1G50440	-0.022911524	0.999995478	0.999999999	20.35714286	0.002824064	0.025735588	-0.022911524	-0.000600481	Stable
AT5G08750	-0.033462998	0.999993877	0.999999999	13.57142857	0.00393778	0.037400777	-0.033462998	-0.000597736	Stable
AT3G52050	-0.022688076	0.999995481	0.999999999	20.57142857	0.002804487	0.025492563	-0.022688076	-0.000596913	Stable
AT1G79190	-0.075164125	0.999990665	0.999999999	5.857142857	0.008328376	0.083492501	-0.075164125	-0.000596828	Stable
AT3G57870	-0.004523749	0.999999304	0.999999999	157.4285714	0.00089832	0.005422069	-0.004523749	-0.000591605	Stable
AT3G06910	-0.065117419	0.999991123	0.999999999	6.785714286	0.007278926	0.072396345	-0.065117419	-0.000589501	Stable
AT3G45750	-0.065117419	0.999991123	0.999999999	6.785714286	0.007278926	0.072396345	-0.065117419	-0.000589501	Stable
AT2G25830	-0.011733203	0.999997636	0.999999999	43.21428571	0.00166235	0.013395553	-0.011733203	-0.000586954	Stable
AT5G19350	-0.012002296	0.999997565	0.999999999	42.07142857	0.001691806	0.013694102	-0.012002296	-0.000585931	Stable
AT3G26360	-0.016820412	0.99999642	0.999999999	28.57142857	0.002207692	0.019028104	-0.016820412	-0.000578045	Stable
AT2G16510	-0.005117249	0.999999053	0.999999999	128.4285714	0.000986046	0.006103295	-0.005117249	-0.000568758	Stable
AT1G07080	-0.007265336	0.999998474	0.999999999	78.07142857	0.001223275	0.008488611	-0.007265336	-0.000558701	Stable
AT5G10940	-0.023555803	0.999994915	0.999999999	19.71428571	0.002940559	0.026496361	-0.023555803	-0.000556441	Stable
AT5G13950	-0.023555803	0.999994915	0.999999999	19.71428571	0.002940559	0.026496361	-0.023555803	-0.000556441	Stable
AT2G30530	-0.020915761	0.999995361	0.999999999	22.42857143	0.00266511	0.023580872	-0.020915761	-0.000554224	Stable
AT3G59910	-0.017534977	0.999995899	0.999999999	27.21428571	0.00232209	0.019857067	-0.017534977	-0.000542596	Stable
AT5G38530	-0.014623594	0.999996492	0.999999999	33.35714286	0.002019641	0.016643235	-0.014623594	-0.000538966	Stable
AT2G39630	-0.021997139	0.999994998	0.999999999	21.21428571	0.002795808	0.024792946	-0.021997139	-0.000538963	Stable
AT5G10960	-0.004520545	0.999998985	0.999999999	154.5	0.000958709	0.005479254	-0.004520545	-0.000536662	Stable
AT4G19640	-0.006325996	0.999998518	0.999999999	93.64285714	0.001151035	0.007477031	-0.006325996	-0.000534601	Stable
AT1G32050	-0.004640193	0.999998919	0.999999999	147.8571429	0.00097717	0.005617363	-0.004640193	-0.000531354	Stable
AT2G18840	-0.020243856	0.99999523	0.999999999	23.21428571	0.0026203	0.022864157	-0.020243856	-0.000530776	Stable
AT1G04010	-0.079857718	0.99998999	0.999999999	5.5	0.008900191	0.088757909	-0.079857718	-0.000526481	Stable
AT2G19560	-0.027325887	0.999993961	0.999999999	16.78571429	0.003373611	0.030699498	-0.027325887	-0.000523687	Stable
AT2G03680	-0.003481221	0.999999128	0.999999999	244.4285714	0.00086705	0.004348271	-0.003481221	-0.000520608	Stable
AT1G72170	-0.009045351	0.999997621	0.999999999	58.64285714	0.001458711	0.010504062	-0.009045351	-0.000515213	Stable
AT4G20400	-0.02657108	0.999993915	0.999999999	17.28571429	0.003309988	0.029881068	-0.02657108	-0.000509365	Stable
AT1G55270	-0.032404838	0.999993112	0.999999999	14	0.003924647	0.036329484	-0.032404838	-0.000508841	Stable
AT2G39080	-0.007965695	0.999997788	0.999999999	68.64285714	0.001358513	0.009324208	-0.007965695	-0.000503044	Stable
AT3G44110	-0.004542554	0.999998646	0.999999999	150.9285714	0.001009441	0.005551995	-0.004542554	-0.000492857	Stable
AT5G55530	-0.014022698	0.999996102	0.999999999	34.85714286	0.002007835	0.016030533	-0.014022698	-0.00049242	Stable
AT1G45160	-0.029673831	0.999993259	0.999999999	15.35714286	0.003657694	0.033331525	-0.029673831	-0.000490274	Stable
AT1G11390	-0.040248772	0.999991992	0.999999999	11.14285714	0.004779244	0.045028016	-0.040248772	-0.000482675	Stable
AT5G16180	-0.029280235	0.999993215	0.999999999	15.57142857	0.003625698	0.032905934	-0.029280235	-0.000481737	Stable
AT5G64350	-0.003366662	0.999998849	0.999999999	254.8571429	0.000902101	0.004268763	-0.003366662	-0.000477985	Stable
AT2G42400	-0.023959018	0.999993926	0.999999999	19.28571429	0.003072702	0.02703172	-0.023959018	-0.000475284	Stable
AT2G17200	-0.012918427	0.999996108	0.999999999	38.21428571	0.001915115	0.014833542	-0.012918427	-0.00047114	Stable
AT3G57530	-0.021855856	0.999994162	0.999999999	21.28571429	0.002861964	0.02471782	-0.021855856	-0.000465651	Stable
AT5G04720	-0.021855856	0.999994162	0.999999999	21.28571429	0.002861964	0.02471782	-0.021855856	-0.000465651	Stable
